code,name,oldprice,price,url
65274-B,Short-sleeved Top,$9.99,$6.99,http://api.hm.com/us/product/65274?article=65274-B
65274-A,Short-sleeved Top,$9.99,$6.99,http://api.hm.com/us/product/65274?article=65274-A
65274-F,Short-sleeved Top,$9.99,$6.99,http://api.hm.com/us/product/65274?article=65274-F
65274-E,Short-sleeved Top,$9.99,$6.99,http://api.hm.com/us/product/65274?article=65274-E
60133-B,Jersey Top,$12.99,$5,http://api.hm.com/us/product/60133?article=60133-B
60133-F,Jersey Top,$12.99,$5,http://api.hm.com/us/product/60133?article=60133-F
60133-E,Jersey Top,$12.99,$5,http://api.hm.com/us/product/60133?article=60133-E
68934-C,Jersey Top,$12.99,$5.99,http://api.hm.com/us/product/68934?article=68934-C
68934-A,Jersey Top,$12.99,$5.99,http://api.hm.com/us/product/68934?article=68934-A
65300-C,Crêped Camisole Top,$17.99,$7,http://api.hm.com/us/product/65300?article=65300-C
63019-K,T-shirt with Printed Design,$12.99,$5.99,http://api.hm.com/us/product/63019?article=63019-K
65300-A,Crêped Camisole Top,$17.99,$7,http://api.hm.com/us/product/65300?article=65300-A
63019-A,T-shirt with Printed Design,$12.99,$5.99,http://api.hm.com/us/product/63019?article=63019-A
64644-C,Striped Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/64644?article=64644-C
63019-Q,T-shirt with Printed Design,$12.99,$5.99,http://api.hm.com/us/product/63019?article=63019-Q
65300-B,Crêped Camisole Top,$17.99,$7,http://api.hm.com/us/product/65300?article=65300-B
65300-D,Crêped Camisole Top,$17.99,$7,http://api.hm.com/us/product/65300?article=65300-D
67571-B,Pleated Top,$17.99,$9.99,http://api.hm.com/us/product/67571?article=67571-B
65274-D,Short-sleeved Top,$9.99,$6.99,http://api.hm.com/us/product/65274?article=65274-D
67571-A,Pleated Top,$17.99,$9.99,http://api.hm.com/us/product/67571?article=67571-A
38259-H,Boat-neck Top,$14.99,$7.99,http://api.hm.com/us/product/38259?article=38259-H
68451-A,Top with Lace,$24.99,$12.99,http://api.hm.com/us/product/68451?article=68451-A
62235-F,Long-sleeved Top,$12.99,$5.99,http://api.hm.com/us/product/62235?article=62235-F
67739-A,Top with Lace Details,$14.99,$7,http://api.hm.com/us/product/67739?article=67739-A
