violator_id,violator_name,citation_no,case_no,standard_no,standard_link,proposed_penalty,amount_paid
4104757,Dirt Works,8778046,000374480,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,100.00
4104757,Dirt Works,8778047,000374480,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-18010.pdf,162.00,162.00
4104757,Dirt Works,8771784,000345454,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf,100.00,100.00
4104757,Dirt Works,8771782,000345454,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf,243.00,243.00
4104757,Dirt Works,8771783,000345454,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf,243.00,243.00
4104757,Dirt Works,8771781,000348280,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,100.00,100.00
4104757,Dirt Works,8688404,000316329,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec50-30.pdf,100.00,100.00
4104757,Dirt Works,8681995,000316329,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14132.pdf,162.00,162.00
4104757,Dirt Works,8681996,000316329,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-12028.pdf,100.00,100.00
4104757,Dirt Works,8681997,000316329,47.31(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec47-31.pdf,100.00,100.00
4104757,Dirt Works,8681998,000316329,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-9300.pdf,100.00,100.00
4104757,Dirt Works,6315027,000303884,46.8(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec46-8.pdf,112.00,112.00
4104757,Dirt Works,6576574,000246930,56.15001,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15001.pdf,243.00,243.00
4104757,Dirt Works,6576573,000246930,56.20002(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-20002.pdf,100.00,100.00
4104757,Dirt Works,6576572,000246930,56.18013,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18013.pdf,100.00,100.00
4104757,Dirt Works,6576571,000246930,56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf,100.00,100.00
4104757,Dirt Works,6466145,000206354,41.12,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec41-12.pdf,100.00,100.00
4104757,Dirt Works,6466144,000206354,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-9300.pdf,100.00,100.00
