time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-03T01:58:56.924Z,59.8048,-136.8335,0,3.1,ml,,,,0.59,ak,ak15880850,2017-05-03T02:03:56.653Z,"94km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T01:35:24.350Z,39.3981667,-120.2555008,5.6,2.42,md,21,73,0.1314,0.05,nc,nc72796130,2017-05-03T01:57:52.525Z,"10km NW of Truckee, California",earthquake,0.21,1,0.26,19,automatic,nc,nc
2017-05-03T01:26:38.608Z,59.897,-136.7109,0,2,ml,,,,0.82,ak,ak15880839,2017-05-03T01:30:12.544Z,"92km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T01:24:02.260Z,37.2468338,-121.635498,2.98,2.57,md,58,43,0.03238,0.07,nc,nc72796125,2017-05-03T01:57:30.367Z,"13km N of Morgan Hill, California",earthquake,0.14,0.34,0.09,63,automatic,nc,nc
2017-05-03T01:18:05.540Z,38.8301659,-122.8081665,1.75,1.11,md,17,74,0.006923,0.02,nc,nc72796120,2017-05-03T01:29:04.429Z,"7km W of Cobb, California",earthquake,0.27,0.4,0.08,4,automatic,nc,nc
2017-05-03T01:09:48.270Z,38.8286667,-122.809166,1.94,1.92,md,27,61,0.005312,0.03,nc,nc72796110,2017-05-03T01:16:03.382Z,"7km W of Cobb, California",earthquake,0.2,0.3,0.19,12,automatic,nc,nc
2017-05-03T01:09:33.611Z,59.8425,-136.6498,1.1,1.9,ml,,,,0.53,ak,ak15880830,2017-05-03T01:17:08.664Z,"86km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T00:59:31.630Z,34.2318333,-117.4941667,8.17,1.11,ml,33,43,0.02497,0.21,ci,ci37638535,2017-05-03T01:03:13.733Z,"16km NNW of Fontana, California",earthquake,0.27,0.79,0.277,29,automatic,ci,ci
2017-05-03T00:59:06.336Z,59.8954,-136.9635,0,2,ml,,,,0.8,ak,ak15880824,2017-05-03T01:06:29.149Z,"100km SSE of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T00:56:29.729Z,62.9229,-150.9244,102.2,2,ml,,,,0.47,ak,ak15880820,2017-05-03T01:01:40.255Z,"78km NNW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-05-03T00:42:47.854Z,59.7785,-136.6791,0,2,ml,,,,0.67,ak,ak15880818,2017-05-03T00:48:26.294Z,"84km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
