Mass. Lottery KENO Sales by ZIP - 2009,Sales
01001 + AGAWAM,"$           5,531,774"
01001 + W SPRINGFIELD,$                      595
01002 + AMHERST,"$                 76,849"
01004 + AMHERST,"$              524,246"
01005 + BARRE,"$                 31,421"
01007 + BELCHERTOWN,"$              714,046"
01008 + BLANDFORD,$                            -
01009 + BONDSVILLE,"$                   5,030"
01010 + BRIMFIELD,"$                 12,540"
01012 + CHESTERFIELD,$                      700
01013 + CHICOPEE,"$           4,124,394"
01020 + CHICOPEE,"$           9,870,447"
01021 + CHICOPEE,"$              369,575"
01027 + EASTHAMPTON,"$           1,673,189"
01028 + E LONGMEADOW,"$           3,000,288"
01029 + E OTIS,"$              190,670"
01029 + OTIS,$                      324
01030 + AGAWAM,"$              716,592"
01030 + FEEDING HILLS,"$           1,970,609"
01031 + GILBERTVILLE,"$              392,279"
01032 + GOSHEN,"$                   2,098"
01033 + GRANBY,"$              327,613"
01034 + GRANVILLE,$                            -
01035 + HADLEY,"$              585,290"
01036 + HAMPDEN,"$              986,682"
01037 + HARDWICK,"$                   1,447"
01038 + HATFIELD,"$              434,363"
01039 + HAYDENVILLE,"$                 40,375"
01040 + HOLYOKE,"$           3,634,387"
01050 + HUNTINGTON,$                            -
01053 + LEEDS,"$                 26,966"
01056 + LUDLOW,"$           4,072,868"
01057 + MONSON,"$              777,692"
01059 + N AMHERST,$                            -
01060 + FLORENCE,"$                   8,115"
01060 + NORTHAMPTON,"$              726,899"
01062 + FLORENCE,"$              558,049"
01066 + N HATFIELD,"$              354,811"
01068 + OAKHAM,"$                 16,604"
01069 + PALMER,"$           1,244,915"
01070 + PLAINFIELD,$                            -
01071 + RUSSELL,"$              165,070"
01073 + SOUTHAMPTON,"$           1,059,584"
01074 + BARRE,"$              121,784"
01074 + S BARRE,"$                 57,072"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
01077 + SOUTHWICK,"$              945,834"
01079 + THORNDIKE,"$              588,046"
01080 + THREE RIVERS,"$              310,776"
01081 + WALES,"$                 15,865"
01082 + WARE,"$              476,222"
01083 + WARREN,"$              281,204"
01085 + WESTFIELD,"$           4,709,454"
01089 + W SPRINGFIELD,"$           4,458,655"
01092 + W WARREN,"$                   1,072"
01092 + WARREN,$                            -
01093 + WHATELY,"$                   2,001"
01095 + WILBRAHAM,"$              764,695"
01096 + WILLIAMSBURG,"$                 39,380"
01098 + WORTHINGTON,$                            -
01101 + SPRINGFIELD,"$           1,407,304"
01102 + SPRINGFIELD,"$              207,350"
01103 + SPRINGFIELD,"$           1,533,529"
01104 + SPRINGFIELD,"$           3,846,536"
01105 + SPRINGFIELD,"$              780,975"
01106 + LONGMEADOW,"$                 59,147"
01107 + SPRINGFIELD,"$                   3,125"
01108 + SPRINGFIELD,"$           1,644,517"
01109 + SPRINGFIELD,"$           2,408,932"
01115 + SPRINGFIELD,"$                   7,464"
01118 + SPRINGFIELD,"$           4,368,896"
01119 + SPRINGFIELD,"$           1,586,585"
01128 + SPRINGFIELD,"$                 24,099"
01129 + SPRINGFIELD,"$              363,327"
01151 + INDIAN ORCHARD,"$           2,343,893"
01151 + SPRINGFIELD,"$                   8,632"
01201 + PITTSFIELD,"$           4,040,479"
01220 + ADAMS,"$           1,316,978"
01223 + BECKET,$                      215
01225 + CHESHIRE,"$                 76,830"
